Berlin, Rome, Madrid
Pablo Picasso, Le désert du Kalahari, Charles Dickens
Le mont Kilimandjaro, Donald Trump, Le yuan
Galileo Galilei, Le rhinocéros blanc, Fiodor Dostoïevski
Oxygène, Azote, Carbone
Vénus, Leonardo da Vinci, Le Nil
Le koala, Osaka, Stephen Hawking
L'Australie, Steve Jobs, Le lac Michigan
Le dioxyde de carbone, J.K. Rowling, Le Canada
Thomas Edison, Le cœur, Pablo Picasso
Le dauphin, Le dollar, Aldous Huxley
Bruxelles, Florence, Lisbonne
Claude Monet, Le désert de Gobi, Ernest Hemingway
Le mont Blanc, Barack Obama, Le won
Nikola Tesla, Le gorille des montagnes, Emile Zola
Mars, Edvard Munch, Le Yangzi Jiang
Le kiwi, Kyoto, Marie Curie
L'Indonésie, Larry Page, Le lac Victoria
L'oxygène, Mark Twain, L'Inde
Guglielmo Marconi, Les reins, Salvador Dalí
L'orque, La livre sterling, Jules Verne
Londres, Salvador Dalí, Sydney
Vincent van Gogh, Le désert d'Atacama, George Orwell
Le mont McKinley, George W. Bush, Le peso
Isaac Newton, Le lion, Honoré de Balzac
Jupiter, Pierre-Auguste Renoir, Le Mississippi
L'ornithorynque, Séoul, Isaac Newton
Le Groenland, Paul Allen, Le lac Huron
Le méthane, Roald Dahl, La Chine
Alexander Graham Bell, Le foie, Edvard Munch
La baleine à bosse, Le franc suisse, H.G. Wells
